########## UNSATISFIED USERS ##########
User 75 satisfaction: -5
User 77 satisfaction: -5
User 79 satisfaction: 20
User 82 satisfaction: 0
User 83 satisfaction: 15
User 84 satisfaction: 15
User 87 satisfaction: 15
User 92 satisfaction: -5
User 95 satisfaction: -5
User 97 satisfaction: 10
User 99 satisfaction: 10
User 100 satisfaction: -5
User 101 satisfaction: 20
User 103 satisfaction: -5
User 104 satisfaction: -5
User 106 satisfaction: -5
User 108 satisfaction: 10
User 110 satisfaction: -5
User 111 satisfaction: 20
User 113 satisfaction: 10
User 121 satisfaction: 15
User 126 satisfaction: 10
User 129 satisfaction: 10
User 130 satisfaction: 10
User 132 satisfaction: 10
User 136 satisfaction: -5
User 138 satisfaction: 10
User 139 satisfaction: -5
User 141 satisfaction: 10.0
User 143 satisfaction: -5
User 149 satisfaction: -5
User 150 satisfaction: 10
User 151 satisfaction: -5
User 154 satisfaction: 45
User 156 satisfaction: -5
User 160 satisfaction: -5
User 165 satisfaction: -5
User 166 satisfaction: -5
User 167 satisfaction: 0
User 168 satisfaction: 10
User 170 satisfaction: 10
User 182 satisfaction: -5
User 187 satisfaction: -5
User 188 satisfaction: 15
User 190 satisfaction: -5
User 192 satisfaction: 10
User 193 satisfaction: -5
User 194 satisfaction: 10
User 195 satisfaction: -5
User 196 satisfaction: -5
User 197 satisfaction: 10
User 213 satisfaction: -5
User 214 satisfaction: -5
User 215 satisfaction: 0
User 218 satisfaction: 10
User 231 satisfaction: -5
User 234 satisfaction: 10
User 239 satisfaction: -5
User 240 satisfaction: 15
User 241 satisfaction: -5
User 243 satisfaction: -5
User 245 satisfaction: -5
User 250 satisfaction: 10
User 258 satisfaction: 10
User 266 satisfaction: 40
User 270 satisfaction: 40
User 271 satisfaction: -5
User 274 satisfaction: -5
User 282 satisfaction: 15
User 284 satisfaction: 13.0
User 285 satisfaction: 0
User 287 satisfaction: 10
User 295 satisfaction: -5
User 299 satisfaction: -5
User 300 satisfaction: 15
User 303 satisfaction: -5
User 305 satisfaction: -5
User 306 satisfaction: 15
User 307 satisfaction: -5
User 309 satisfaction: 10
User 310 satisfaction: -5
User 312 satisfaction: -5
User 313 satisfaction: -5
User 314 satisfaction: -5
User 315 satisfaction: 10
User 319 satisfaction: -5
User 321 satisfaction: -5
User 341 satisfaction: -5
User 343 satisfaction: 10
User 347 satisfaction: -5
User 348 satisfaction: 10
User 355 satisfaction: 10
User 357 satisfaction: 10
User 358 satisfaction: 10
User 361 satisfaction: 10
User 364 satisfaction: 15
User 365 satisfaction: 10
User 366 satisfaction: -5
User 371 satisfaction: 0
User 375 satisfaction: 10
User 376 satisfaction: 40
User 381 satisfaction: 10
User 382 satisfaction: 10
User 389 satisfaction: -5
User 393 satisfaction: -5
User 396 satisfaction: -5
User 398 satisfaction: -5
User 399 satisfaction: 15
User 404 satisfaction: 45
User 405 satisfaction: -5
User 411 satisfaction: -5
User 412 satisfaction: 10.0
User 414 satisfaction: -5
User 424 satisfaction: 0
User 430 satisfaction: 10
User 438 satisfaction: 10.0
User 441 satisfaction: 10
User 442 satisfaction: 10
User 446 satisfaction: 20
User 451 satisfaction: -5
User 454 satisfaction: 10
User 456 satisfaction: 10
User 457 satisfaction: -5
User 461 satisfaction: 10
User 463 satisfaction: 10
User 466 satisfaction: 40
User 467 satisfaction: -5
User 469 satisfaction: 10
User 472 satisfaction: 10
User 473 satisfaction: 10
User 485 satisfaction: 10
User 488 satisfaction: 10.0
User 489 satisfaction: -5
User 493 satisfaction: 40
User 512 satisfaction: -5
User 514 satisfaction: 10
User 515 satisfaction: 10
User 529 satisfaction: 40
User 541 satisfaction: 0
User 545 satisfaction: 10
User 549 satisfaction: -5
User 553 satisfaction: 10
User 556 satisfaction: 10
User 563 satisfaction: -5
User 569 satisfaction: 15
User 571 satisfaction: 10
User 578 satisfaction: 10
User 581 satisfaction: 15
User 586 satisfaction: 10
User 588 satisfaction: -5
User 602 satisfaction: 10
User 606 satisfaction: -5
User 610 satisfaction: 10
User 615 satisfaction: -5
User 617 satisfaction: 10
User 620 satisfaction: 40
User 621 satisfaction: 10
User 644 satisfaction: 10
User 650 satisfaction: -5
User 658 satisfaction: 40
User 669 satisfaction: -5
User 672 satisfaction: -5
User 674 satisfaction: -5
User 676 satisfaction: 10
User 677 satisfaction: 10.0
User 684 satisfaction: -5
User 691 satisfaction: 10
User 693 satisfaction: 10
User 696 satisfaction: 10
User 697 satisfaction: 0
User 709 satisfaction: 10
User 710 satisfaction: 10
User 711 satisfaction: 40
User 712 satisfaction: 10
User 713 satisfaction: -5
User 714 satisfaction: 10
User 716 satisfaction: 10
User 718 satisfaction: 10
User 719 satisfaction: -5
User 724 satisfaction: -5
User 725 satisfaction: 10
User 735 satisfaction: 10
User 742 satisfaction: 40
User 745 satisfaction: 10
User 747 satisfaction: 10
User 750 satisfaction: 10
User 753 satisfaction: -5
User 763 satisfaction: 10
User 764 satisfaction: 10
User 768 satisfaction: 10
User 771 satisfaction: 10
User 779 satisfaction: 10
User 784 satisfaction: 10
User 785 satisfaction: 10
User 793 satisfaction: 10
User 797 satisfaction: 10
User 802 satisfaction: 10
